,News Source,cleaned_text,sentiment
760,Michael Kiser,life stays close to the river  solar beer and wildebeest in the serengeti  good beer hunting,Positive
761,IPPmedia,pilsners kapu la wana campaign holds its first draw,Positive
762,ESM – European Supermarket Magazine,notes from africa naivas tanzania breweries serengeti breweries kershanshe  esm magazine,Neutral
763,pmldaily.com,ubls rhona namanya joins sister company serengeti breweries in tanzania as head of beer,Neutral
764,The East African,growth prospect entices eabl to increase stake in dar brewer,Neutral
765,Monitor,eabl to give shs70 in dividends as firm posts 36 per cent growth,Positive
766,Africa Outlook Magazine,serengeti breweries  company profiles,Neutral
767,Daily News,govt bids to make tanzania a top investment destination,Positive
768,The East African,eabl spends 3 million on serengeti shares,Neutral
769,IPPmedia,brewer lures customers with serebuka campaigns 1m cash prize,Neutral
770,The Citizen,farmers gain from sbls cereal deal  the citizen,Neutral
771,The Citizen,eabl to increase stake in serengeti  the citizen,Neutral
772,The Citizen,budding djs to regale tanzanians in the take a bite out of life campaign,Positive
773,The East African,tanzania breweries could pay 22m in beer war,Neutral
774,Guardian Nigeria,serengeti breweries limited sbl unveils over 2bn a fund to help bars fight against communicable diseases in tanzania including covid19,Positive
775,IPPmedia,pm commends sbl for 166bn investment to expand production capacity,Neutral
776,ESM – European Supermarket Magazine,tanzanian antitrust agency threatens diageo unit over merger  esm magazine,Neutral
777,The Citizen,sbls kilimo viwanda scholarship program scoops an award,Neutral
778,IPPmedia,sbls investment in spirit making plant in moshi was best milestone,Positive
779,IPPmedia,a flashback of sbl major highlights in 2019,Positive
780,IPPmedia,sbl beats covid19 odds to complete 30bn factory expansion,Positive
781,The Citizen,sbl commissions first spirit production plant as expansion continues,Positive
782,Devdiscourse,serengeti breweries ltd unveils new look corporate identity,Positive
783,IPPmedia,sbl introduces new bear brand in market,Positive
784,The Citizen,tra why electronic tax stamps is way to go,Neutral
785,IPPmedia,beer brewers water project drills 17 boreholes serving 2mil people,Neutral
786,IPPmedia,bashungwa urges sbl to recruit more barley farmers in factory project,Positive
787,IPPmedia,serengeti lite dj competition winners get prizes,Neutral
788,IPPmedia,sbl all out to support sports sector in tanzania,Neutral
789,IPPmedia,leading brewer backing president samias investment drive,Neutral
790,IPPmedia,sbl awards scholarships to agricultural students in iringa,Neutral
791,pmldaily.com,ubl boss ocitti leaves after three years at the helm,Neutral
792,IPPmedia,lugalo golf club set to host waitara trophy tourney next month,Neutral
793,IPPmedia,sbl now impressed by taifa stars performance,Positive
794,IPPmedia,sbl allfemale run spirits production facility demonstrates capability,Neutral
795,IPPmedia,sbl ushers in festive season with liquor gift offers,Positive
796,IPPmedia,sbl unveils kilimoviwanda scholarship for agricultural studies,Neutral
797,Daily News,stars impressive run cherishes sbl backing,Positive
798,The Telegraph,the beer giants are toasting the rise of africa,Neutral
799,Tampa Bay Times,at busch gardens tampa this summer check out new swing ride and festivals,Positive
802,Kenya Broadcasting Corporation,smirnoff battle of the beats season 3 returns  nairobi,Neutral
803,The Standard,kenya breweries launches smirnoff battle of the beats season 3,Neutral
804,KenyanVibe,sbob smirnoff battle of the beats season 3 returns,Neutral
805,Marketing Dive,smirnoff celebrates connection in new global campaign,Positive
806,HapaKenya,kbl launches the smirnoff pineapple punch at the unleash your edge fiesta  hapakenya,Neutral
807,Nairobi News,kbl unveils smirnoff we do we campaign in eldoret,Neutral
808,BUSINESS TODAY KENYA,kenyan djs face off in smirnoff battle of the beats season 3,Neutral
809,GreenBiz,diageo signs partnership that could replace up to 95 of bar and pub bottles,Neutral
810,Consumer Goods Technology,diageo transforming captain morgan and smirnoff distribution with circular packaging strategy,Neutral
811,BellaNaija,smirnoff celebrates drink culture at lagos cocktail week 2023,Neutral
812,The Drum,smirnoff  nsync star lance bass combat the holiday breakup curse with playful psa,Negative
813,Ghafla!,smirnoff fiesta party heading to machakos town,Neutral
815,Medium,the unforgivable mispronunciation my 24year ordeal with smirnoff ice,Neutral
816,Punch Newspapers,smirnoff celebrates the power of the collective in the big brother naija all star season,Neutral
817,HapaKenya,smirnoff takes the unleash your edge fiesta to kisumu county  hapakenya,Neutral
818,Nairobi News,chris kaiga buruklyn boyz to entertain fans during the smirnoff fiesta party,Neutral
819,BellaNaija,smirnoff joins forces with exbig brother naija housemate saga adeoluwa for we do we art challenge,Neutral
820,Business Insider,5 trends shaping how consumers spend in 2024 guinness smirnoff maker,Neutral
821,Little Black Book - LBBonline,why smirnoff is making a rallying cry for an age of togetherness  lbbonline,Neutral
822,VinePair,how smirnoff ice brought early aughts drinkers to their knees,Positive
823,PR Newswire,smirnoff ice levels up the classics kicks off relaunch tour with epic performances from t ,Positive
824,The Drum,to engage a more diverse audience smirnoff takes inspiration from the nfl,Positive
825,ETBrandEquity,indias smirnoff vodka maker united spirits q2 profit rises on strong premium demand,Positive
826,PR Daily,the daily scoop smirnoff promotes we do we pride month campaign twitter under fire again,Neutral
827,PR Newswire,smirnoff initiative reignites social connections through cultural acts around the world,Positive
828,PR Newswire,smirnoff and latin urban icon wisin tempt music lovers and spicy enthusiasts everywhere to ,Neutral
829,Talking Retail,smirnoff launches new global campaign,Positive
830,Shots,have a ball with smirnoff  shots,Neutral
831,Ad Age,how smirnoff is addressing the loneliness epidemic in new campaign,Positive
832,Beverage Industry,smirnoff ice release new packaging in line with new campaign,Positive
833,PR Newswire,smirnoff shows up big for nfl kickoff celebrating fans with new we do game days national ,Negative
834,Chief Marketer,smirnoffs senior global vp on executing the brands largest campaign in a decade,Neutral
835,Marketing Dive,smirnoff ice marks 23 years with branding overhaul summer relaunch tour,Neutral
836,Tasting Table,review smirnoffs red white  merry vodka is impressive in cocktails but lacks vibrant flavor,Positive
837,Diageo,diageo and smirnoff launch new global responsible drinking campaign for the festive period,Positive
838,Billboard,smirnoff ice celebrates its relaunch with starstudded summer tour,Neutral
839,Ad Age,smirnoff leans into diversity for global campaign despite attacks on similar marketing,Neutral
840,PR Newswire,smirnoff champions the power of the collective in new global brand positioning we do we,Positive
841,Daily Mail,moment smirnoff heiress and exmiss russia is caught driving through hyde park while on her phone by road safe,Positive
842,PR Newswire,smirnoff and reality tv star scheana shay take cinco de mayo celebrations from basic to bold,Positive
843,PR Newswire,new smirnoff blue raspberry lemonade brings big blue flavor to hot 97s summer jam and ,Positive
844,Strategy Online,smirnoff gets colourful to bring people together,Neutral
845,Adweek,smirnoffs ad boss discusses the power of intersectionality,Neutral
846,FOOD Magazine - Australia,smirnoff launches new line of sodas in its readytodrink range,Positive
847,Billboard,smirnoff ice celebrates relaunch with summer tour specialty merch,Neutral
848,Drinks Trade,smirnoff launches new daytonight smirnoff soda range,Positive
849,FoodBev.com,smirnoff introduces blue raspberry lemonade flavour,Neutral
850,The Culture Custodian,smirnoff celebrates lagos cocktail culture at lcw 2023,Neutral
851,Guardian Nigeria,bbn fans party smirnoff delights in unforgettable night of fun,Positive
852,The Star Kenya ,smirnoff unleash your edge fiesta heads to mombasa after kisumu,Neutral
853,PR Newswire,smirnoff ice hits the road for summer as relaunch tour drops new thursday tour dates across the country in ,Positive
854,Pulse Nigeria,unforgettable night of fun  smirnoff lagos soars with epic bbn fans party,Positive
855,Pulse Nigeria,mixologists others enjoy delightful smirnoff cocktails at lcw 2023,Positive
856,Diageo,discover diageo  diageo,Neutral
857,More About Advertising,mix it up message from smirnoff gets recipe right,Positive
858,VinePair,32 teams 32 drinks your nfl cocktail guide,Neutral
859,Tehachapi News,santa 121223 smirnoff 3jpg   tehachapinewscom,Neutral
860,Yahoo Finance,celebrate fullon flavour this summer with smirnoff vodka,Neutral
861,VinePair,taplines the ice age bros blogs and smirnoff malt beverages,Neutral
862,Billboard,best quotes from wisin  la base eye of the tiger at billboard latin music week 2023,Positive
863,The Bookseller,karin smirnoff  wheres the vulnerability how do i humanise her but still keep her a hero,Neutral
864,MultiVu,smirnoff shows up big for nfl kickoff celebrating fans with new we do game days,Negative
865,Creativebrief,smirnoff takes aim at social isolation with culture and inclusion focus,Positive
866,Trend Hunter,zerosugar flavored malt beverages,Neutral
867,Daily Mail,girls alouds kimberley walsh nadine coyle and nicola roberts all look incredible as they enjoy a night out a,Positive
868,IOL,diageo loses millions to fake healthimperilling smirnoff,Negative
869,FoodSided,smirnoff and lance bass say bye bye bye to the holiday breakup curse,Negative
870,Marketing Dive,smirnoff to unveil inaugural cocktail coordinator during super bowl lvii,Positive
871,The Telegraph,smirnoff heiress filmed driving through hyde park while on her phone by cyclingmikey,Neutral
872,MediaPost Communications,smirnoff ice leans into nostalgia music to mark birthday 24 05042023,Neutral
873,Grocery Trader,smirnoff launches new global campaign promoting accessibility inclusion and social connections,Positive
874,Life Without Andy,interview flex mami chats carbs kendrick and festival chaos at smirnoff seltzer springs  lifewithoutandy,Neutral
875,PEOPLE,bride ices her groomsmen with smirnoff ice before her wedding,Neutral
876,Scottish Licensed Trade News,smirnoff puts inclusivity to the fore with the we do us campaign,Neutral
877,Strategy Online,smirnoff brings its pride to the lcbo,Neutral
878,PR Newswire,dont call it a comeback we were one of the firsts smirnoff ice proves true classics never fade they only get ,Positive
879,Violinist.com,master class with joel smirnoff recital featuring rachell ellen wong  starlingdelay 2023,Neutral
880,BET,2023 naacp image awards let smirnoffs blue raspberry lemonade seaside fizz add some zest to your cocktail ,Neutral
881,Daily Signal,drag queen associated with smirnoff flashes bystanders at texas capitol,Negative
882,UPROXX,smirnoff ice kicks off its summer relaunch tour with an epic party,Positive
883,Yahoo Finance,smirnoff and reality tv star scheana shay take cinco de mayo celebrations from basic to bold,Positive
884,Just Jared,dancing with the stars reallife couples celebs who found love in the ballroom only 6 of 18 couples are still ,Positive
885,News Shopper,smirnoff and sink the pink to host inclusive party in lambeth,Positive
886,Fox News,trans activist appears to tout smirnoff relationship company denies partnership,Neutral
887,Independent,smirnoff announces new date for mbarara fiesta,Positive
888,BET,2023 naacp image awards smirnoff has a new twist on the classic cosmopolitan,Positive
889,Talking Retail,smirnoff announces new global campaign,Positive
890,WFLA,smirnoff red white  merry brings cheer to the holiday season,Neutral
891,49ers.com,49ers pride hosts drag brunch presented by smirnoff,Positive
892,"Bay Area Reporter, America's highest circulation LGBT newspaper",katya smirnoffskyy celebrates 18 years at martunis,Neutral
893,Life Without Andy,cruising through melbourne with flex froomes louis  smirnoff sodas  lifewithoutandy,Neutral
894,The New York Times,the 5 best vodkas of 2024  reviews by wirecutter,Positive
895,The Irish Times,karin smirnoff taking on stieg larssons characters and the world surrounding them is a challenge,Neutral
896,WBIW.com,two teens steal smirnoff from walmart and are detained,Neutral
897,Gold Coast Magazine,smirnoff seltzer springs a palm springsinspired oasis at splendour in the grass,Neutral
898,Irish Examiner,book review lisbeth salander returns in karin smirnoffs the girl in the eagles talons,Neutral
899,Yahoo Finance,smirnoff is making over the margarita for national margarita day  all the margaritas  the ,Neutral
900,BET,2023 naacp image awards smirnoffs peach lemonade vodka mule is here to give your tastebuds a kick,Neutral
901,HapaKenya,how the third edition of the smirnoff unleash your edge fiesta party went down  hapakenya,Positive
902,Capital FM Kenya,the best dressed  good vibes at the tanqueray flor de sevilla launch in nairobi  capital lifestyle,Positive
903,Diageo,diageo south africa  where we operate,Neutral
904,PR Newswire,tanqueray gin and chef eric adjepong invite you to take a seat at their damn fancy dinner,Neutral
905,Esquire,15 best gin brands 2024  top gin bottles to buy right now,Positive
906,MSN,struggling eastern cape municipality approves r700000 for christmas eve music festival,Neutral
907,Footwear News,rachel zoe talks y2k style revival nyfw memories tanqueray cocktails  her love of platform heels,Positive
908,Diageo,discover diageo  diageo,Neutral
909,Yahoo News UK,premium beers buoy diageos sales in kenya as inflation bites,Neutral
910,Bizcommunity.com,tanqueray and ginologist floral gin triumph at lifestyle gin awards,Neutral
911,TRBusiness,tanqueray gin bears new fruit with seville orange edition,Positive
912,The Spirits Business,top seven bestselling gin brands,Positive
913,HapaKenya,tusker cider hosts garden of eden themed party on valentines at mawimbi restaurant  hapakenya,Neutral
914,The Standard,reprieve for kbl as tusker cider spared heavy taxation,Positive
915,Capital FM Kenya,kenya breweries launches tusker premium cider can,Neutral
916,Business Daily,kbl targets kenyas millennials with new cider beer,Positive
917,The Star Kenya ,kbl launches new alcoholic beverage,Positive
918,Mpasho Kenya,tasty how to make apple cider sangria,Neutral
919,Capital FM Kenya,cider lovers tusker premium cider is now in the market  capital lifestyle,Neutral
920,Business Daily,kenya breweries wins suit against kra in cider tax dispute,Positive
921,The Star Kenya ,photos fun times at the tusker premium cider launch,Positive
922,HapaKenya,tusker premium ale launched by eabl to capture premium beer market  hapakenya,Neutral
923,The Standard,kbl targets premium clients with new tusker,Positive
924,Capital FM Kenya,5 things you didnt know about ciders  capital lifestyle,Neutral
925,Business Daily,kbl targets female consumers with new cider beer,Positive
926,The Star Kenya ,bad news for alcohol lovers as eabl hikes prices  nairobi,Negative
927,The Standard,how eabl protects its tusker brand amid competition,Neutral
928,Capital FM Kenya,kbl tusker unveils mega beer campaign to celebrate 100 years of existence,Neutral
929,Capital FM Kenya,kbl expands innovation pipeline with new sikera premium apple cider,Positive
930,The Standard,kenya breweries increases alcohol prices,Neutral
931,Capital FM Kenya,kbl looks to tusker malt to deliver growth in 2020,Neutral
932,chimpreports.com,ubls tusker premium cider hits ugandan market,Neutral
933,Pulse Live Kenya,eabl increases prices for alcoholic drinks effective immediately full price list,Positive
934,The Standard,kbl launches captain morgan gold in kenya,Neutral
935,Capital FM Kenya,tusker family has a new baby tusker premium ale  capital lifestyle,Positive
936,Independent,eabl adapts to covidhit marketplace,Neutral
937,Business Daily,beer makers courting women drinkers,Neutral
938,chimpreports.com,blankets and wine winds up 10thanniversary celebrations with yemi alade,Neutral
939,New Vision,when two elephants met in gulu,Neutral
940,chimpreports.com,girl power umbrellas  cider dominate tiwa savage concert,Neutral
941,chimpreports.com,yemi alade to headline december edition of blankets  wine,Neutral
942,chimpreports.com,nigerian singer johnny drille jets in ahead of 30th edition of blankets  wine,Neutral
943,chimpreports.com,south africas blaq diamond confirmed for blankets  wine 10th edition,Positive
944,chimpreports.com,rockshore tropical lager ugandas first flavored beer launched,Positive
945,chimpreports.com,nigeria songbird ayra starr jets in for blankets and wines july edition,Neutral
946,chimpreports.com,ayra starr bonds with kampala fans at midyear blankets  wine edition,Neutral
947,chimpreports.com,klarified sets stage for blankets and wine,Neutral
948,News Invasion 24,ubl introduces its tusker cider brand in northern uganda,Neutral
949,Soko Directory Team,beer prices increase ahead of treasurys hefty budget tabling,Neutral
950,Nigeria Abroad,yemi alade to bring energy and fire to uganda festival on sunday,Neutral
951,DAILY POST,internet erupts as shameless muranga man shares photos giving his son beer photos,Neutral
952,AfricanFinancials,east african breweries plc eablke 2023 abridged report,Positive
953,Citizen Digital,kbl announces sh15 million sponsorship for safari 7s victoria cup tournaments,Neutral
954,The Star Kenya ,kbl injects sh15 million towards safari sevens victoria cup,Neutral
955,Pulse Uganda,inside season 2 of tusker malt conversessions,Neutral
956,HapaKenya,tusker malt elevates the social experience at the ladies international polo tournament,Positive
957,pmldaily.com,juliana bares it all on new tusker malt conversessions season,Positive
958,AfricanFinancials,east african breweries plc eablug hy2023 presentation,Neutral
959,The Drinks Business,reports claim diageo looking to sell beer portfolio  but not guinness,Neutral
960,Capital FM Kenya,kbl tusker unveils mega beer campaign to celebrate 100 years of existence,Neutral
961,The Standard,how eabl protects its tusker brand amid competition,Neutral
962,HapaKenya,tusker lager is the official team kenya sponsor for the tokyo olympics 2021  hapakenya,Neutral
963,Capital FM Kenya,kbl looks to tusker malt to deliver growth in 2020,Neutral
964,The Star Kenya ,bad news for alcohol lovers as eabl hikes prices  nairobi,Negative
965,HapaKenya,tusker malt lager to sponsor the soldiers salute polo tournament this weekend at the nairobi polo club  hapakenya,Neutral
966,Capital FM Kenya,tusker malt lager brews up the finest valentines bush experience  capital lifestyle,Neutral
967,The Standard,kbls new beer for light drinkers,Positive
968,The Star Kenya ,world famous andy capp receives gift package from tusker,Positive
969,HapaKenya,tusker premium ale launched by eabl to capture premium beer market  hapakenya,Neutral
970,pmldaily.com,beer makers ubl revamp look of popular tusker malt lager,Positive
971,The Standard,kenya breweries increases alcohol prices,Neutral
972,Capital FM Kenya,heres what was on the menu at obama state banquet,Neutral
973,Capital FM Kenya,zonke dikana for tusker malt lager 100 club  capital lifestyle,Neutral
974,La Prensa Latina,a century of tusker kenyas iconic beer,Positive
975,Tuko.co.ke ,list of eabl distributors in kenya and how you can become one,Neutral
976,Business Daily,kbl targets kenyas millennials with new cider beer,Positive
977,Mwakilishi.com,uhuru names his favorite kenyanmade beer brand,Positive
978,Nairobi Wire,full price list as eabl hikes alcohol prices,Positive
979,Capital FM Kenya,tusker family has a new baby tusker premium ale  capital lifestyle,Positive
980,Capital FM Kenya,cider lovers tusker premium cider is now in the market  capital lifestyle,Neutral
981,Monitor,all systems go for 2020 tusker malt lager uganda open golf championships,Neutral
982,Pulse Live Kenya,eabl increases prices for alcoholic drinks effective immediately full price list,Positive
983,SportsPro Media,tusker backs kenyan push for 2015 rugby world cup  sportspro,Neutral
984,New Times Publication,rwanda golfers set for tusker malt lager uganda open  the new times,Positive
985,Capital FM Kenya,tusker air show rally driver quentin mitchell is set to race against a helicopter  capital lifestyle,Neutral
986,Business Daily,castle lager beer prices go up in sluggish market,Neutral
987,New Times Publication,trio ready for tusker malt lager uganda open  the new times,Positive
988,HapaKenya,balozi beer is now available in a can  hapakenya,Positive
989,The Star Kenya ,state wrong about thuos porkies drink,Negative
990,pmldaily.com,toniks episode to usher in 2022 tusker malt conversessions this sunday,Neutral
991,AllAfrica - Top Africa News,uganda tusker malt lager celebrates 10th edition of blanket and wine,Neutral
992,pmldaily.com,tusker malt lager golf series tees off at uganda golf club,Neutral
993,Kawowo Sports,inaugural tusker malt lager golf series wind up in style as lucky golfers land tickets to thailand,Positive
994,Kawowo Sports,golfers eager for the inaugural tusker malt lager series final showdown,Neutral
995,chimpreports.com,king sahas melodies to kick off the month of love at tusker malt conversessions,Positive
996,Bizcommunity.com,eab sponsors tusker project fame 3 reality show,Neutral
997,Kawowo Sports,golfers brave early rains to grace the final tusker malt lager golf series at ugc,Positive
998,New Vision,parsix hole mesmerizes ugandan golfers in thailand,Neutral
999,pmldaily.com,gnl zamba claims hiphop crown ahead of tusker malt conversessions episode,Neutral
1000,New Vision,uganda golf open receives sh500m cash boost,Neutral
1001,chimpreports.com,gnl zamba to grace tusker malt conversessions this sunday,Neutral
1002,The Independent,best beers for a barbecue drink of fulham selects its 12 favourite,Positive
1003,chimpreports.com,lockdown ugandans order for pizza beer tshirts and home essentials via suubulacom,Neutral
1004,New Vision,tusker malt conversessions unlocks lilian mbabazis artistic depths,Positive
1005,pmldaily.com,lilian mbabazi strikes a chord on new tusker malt conversessions episode,Positive
1006,Pulse Live Kenya,lilian mbabazi talks about mowzey radio in upcoming episode of conversessions,Neutral
1007,HapaKenya,tusker malt elevates the social experience at the ladies international polo tournament,Positive
1008,Pulse Uganda,inside season 2 of tusker malt conversessions,Neutral
1009,The Standard,tusker malt off to good start in kenya international championships,Positive
1010,Nation,new nairobi polo club boss tees off with sbm bank tusker malt boost,Positive
1011,The Star Kenya ,kenya dominate polo championships at nairobi club,Neutral
1012,AfricanFinancials,east african breweries plc eablke 2023 abridged report,Positive
1013,Kenya Broadcasting Corporation,polo action continues this weekend at the nairobi polo club,Positive
1014,The Africa Report,east african breweries averts forex losses in volatile kenyan market,Neutral
1015,KenyanVibe,scenes from the ladies international polo tournament,Neutral
1016,chimpreports.com,tusker malt conversession juliana kanyomozi to star in episode one,Neutral
1017,Capital FM Kenya,they came they slayed they vibed polo season ends with a fashion bang in nairobi  capital lifestyle,Neutral
1018,New Vision,juliana kanyomozi to star in first episode as tusker malt conversessions returns,Positive
1019,pmldaily.com,juliana bares it all on new tusker malt conversessions season,Positive
1020,New Vision,tusker malt conversessions the mith reveals desire to start family,Neutral
1021,HapaKenya,tusker malt renews its partnership with the nairobi polo club for 2023  hapakenya,Neutral
1022,Capital FM Kenya,a glimpse into the fashion at tusker malt polo weekend  capital lifestyle,Neutral
1023,Capital FM Kenya,kbl looks to tusker malt to deliver growth in 2020,Neutral
1024,Kawowo Sports,2023 venus open to initiate the tusker malt golf countrywide series,Neutral
1025,The Standard,polo casimir and kimoi shine for their sides in opening ties,Neutral
1026,HapaKenya,tusker malt lager to sponsor the soldiers salute polo tournament this weekend at the nairobi polo club  hapakenya,Neutral
1027,Kawowo Sports,cwinyaai triumphs at 2023 venus golf open tusker malt golf series teeoff,Neutral
1028,pmldaily.com,tusker malt hospitality village creates 19th hole spectacle for golfers at the open finale,Neutral
1029,chimpreports.com,cwinyai tops venus open as tusker malt golf series take shape,Neutral
1030,The Standard,kbl targets premium clients with new tusker,Positive
1031,HapaKenya,tusker malt  the kenya conservatoire of music partnership to celebrate women in music  hapakenya,Neutral
1032,chimpreports.com,tusker malt golf series tee off with toros venus open,Neutral
1033,Capital FM Kenya,tusker malt lager brews up the finest valentines bush experience  capital lifestyle,Neutral
1034,pmldaily.com,chameleone uncovers mist underneath his legendary name at the tusker malt conversessions,Positive
1035,New Vision,uganda open golf tours resume in fort portal,Neutral
1036,Kawowo Sports,muchiri swings to victory at 2022 tusker malt uganda golf open seniors championship,Neutral
1037,Kawowo Sports,muchiri establishes 4shot lead on opening day of 2022 tusker malt seniors golf open,Neutral
1038,pmldaily.com,sips and swings as tusker malt takes golf to bars,Neutral
1039,Kawowo Sports,111 golfers join subsidiary cluster at 2022 tusker malt uganda golf open seniors championship,Neutral
1040,The Standard,how eabl protects its tusker brand amid competition,Neutral
1041,Monitor,all systems go for 2020 tusker malt lager uganda open golf championships,Neutral
1042,pmldaily.com,sixth episode of the tusker malt conversessions goes on tv,Neutral
1043,Kawowo Sports,elation as the 2022 tusker malt uganda golf open series officially launched,Neutral
1044,pmldaily.com,beer makers ubl revamp look of popular tusker malt lager,Positive
1045,chimpreports.com,kenyas muchiri defends title as senior champion at 2022 tusker malt uganda golf open,Neutral
1046,HapaKenya,tusker premium ale launched by eabl to capture premium beer market  hapakenya,Neutral
1047,Capital FM Kenya,zonke dikana for tusker malt lager 100 club  capital lifestyle,Neutral
1048,pmldaily.com,toniks episode to usher in 2022 tusker malt conversessions this sunday,Neutral
1049,pmldaily.com,king saha sets the tone for lovers month at the tusker malt conversessions,Neutral
1050,Kawowo Sports,day 3 full draw  2022 tusker malt uganda golf pro open,Positive
1051,pmldaily.com,the tusker malt conversessions returns with naava grey,Neutral
1052,Kawowo Sports,the brave quest to make the cut at 2022 tusker malt uganda golf pro open,Positive
1053,Kawowo Sports,ssekibejja regains lead heading to final round  2022 tusker malt uganda golf amateur open,Negative
1054,Kawowo Sports,professional golfers eye shs 97500000 kitty  2022 tusker malt uganda golf pro open,Positive
1055,Kawowo Sports,babirye or kabasweka who swings to the 2022 tusker malt uganda ladies golf open title,Neutral
1056,Kawowo Sports,martha babirye wins the 2022 tusker malt uganda ladies golf open title,Positive
1057,Kawowo Sports,how ssekibejja won the 2022 tusker malt uganda golf amateurs open title,Positive
1058,Kawowo Sports,key reflections from the 2022 tusker malt uganda golf open series,Neutral
1059,Kawowo Sports,day 2 full draw  2022 tusker malt uganda golf pro open,Positive
1060,New Times Publication,otile elated after retaining tusker malt uganda open  the new times,Positive
1061,Kawowo Sports,seale opio impress during 2022 proam  tusker malt uganda pro open,Neutral
1062,Kawowo Sports,proam 2022 full draw  tusker malt uganda golf pro open,Positive
1063,Kawowo Sports,49 drawn in 2022 tusker malt uganda golf open seniors category,Neutral
1064,Kawowo Sports,2022 tusker malt uganda golf open,Neutral
1065,Kawowo Sports,the prize money breakdown at the 2022 tusker malt uganda golf pro open,Neutral
1066,Kawowo Sports,nakalembe makes history at 2022 tusker malt uganda golf pro open,Neutral
1067,Kawowo Sports,chinhoi dives into lake victoria upon second tusker malt uganda golf pro victory,Neutral
1068,pmldaily.com,tusker malt conversessions toniks talks drugs and depression,Neutral
1069,Kawowo Sports,basabose holeinone lights up 2022 tusker malt uganda amateurs golf open,Neutral
1070,Kawowo Sports,serenas artisan ssekibejja takes opening day bragging rights at 2022 tusker malt uganda amateur golf open,Neutral
1071,Capital FM Kenya,bez in kenya for tusker malt 100 club  capital lifestyle,Neutral
1072,chimpreports.com,robson chinhoi wins tusker malt uganda golf professionals open,Positive
1073,Kawowo Sports,proam to usher in the 2022 tusker malt uganda golf professionals event,Neutral
1074,Kawowo Sports,edrae kagombe clinches senior ladies title  2022 tusker malt uganda golf open series,Neutral
1075,Kawowo Sports,the sadi onito rich golf legacy lives on  tusker malt uganda open 2022 preview,Positive
1076,Kawowo Sports,day 3 full draws  2022 tusker malt uganda golf amateur open,Positive
1077,Kawowo Sports,the seale family fatherson relationship on the golf course  tusker malt uganda golf pro 2022,Neutral
1078,Kawowo Sports,day 1 full draw  2022 tusker malt uganda golf pro open,Positive
1079,Monitor,kabasweka takes cautious approach to kigo in tusker series,Neutral
1080,Kawowo Sports,chinhoi maintains lead 13 ugandans make the treasured cut  2022 tusker malt uganda golf pro open,Neutral
1081,Capital FM Kenya,amileena opening for efya at tusker malt 100 concert  capital lifestyle,Neutral
1082,Kawowo Sports,all the top performers at the 2022 tusker malt uganda ladies golf open,Positive
1083,pmldaily.com,tusker malt conversessions goes hiphop with gnl edition,Neutral
1084,New Times Publication,rwanda golfers set for tusker malt lager uganda open  the new times,Positive
1085,Kawowo Sports,the exciting 2022 tusker malt uganda golf open series return to the quaint lake victoria serena course,Positive
1086,Kawowo Sports,andrew ssekibejja triumphs in 2022 tusker malt uganda golf amateur open,Neutral
1087,Kawowo Sports,subsidiary golfers spice up day two action  2022 tusker malt uganda ladies golf open,Positive
1088,Kawowo Sports,zimbabwean chinhoi commands 3stroke lead in opening round  2022 tusker malt uganda golf pro open,Neutral
1089,NTV Uganda,tusker malt golf open 96 pro golfers expected to tee off on wednesday,Neutral
1090,chimpreports.com,martha babirye off to a good start in 2022 tusker malt ladies open,Positive
1091,pmldaily.com,tusker malt golf series winners heading to thailand,Neutral
1092,Monitor,lets go to take tusker golf tours six outstanding stars to thailand,Positive
1093,pmldaily.com,i was already a superstar even when radio was still alive says king saha ahead of sunday tusker malt conversessions,Positive
1094,Kawowo Sports,golfers keen for improved round 2 at 2022 tusker malt uganda amateurs golf open,Neutral
1095,Kawowo Sports,full draw for silver category in opening round  tusker malt uganda golf ladies open 2022,Positive
1096,chimpreports.com,martha babirye wins 3rd tusker malt uganda ladies open title,Positive
1097,Kawowo Sports,day 2 full draw  2022 tusker malt uganda amateurs golf open,Positive
1098,Kawowo Sports,know your stars 2022 tusker malt uganda golf amateur open winner ssekibejja quit football to become a golf ,Neutral
1099,pmldaily.com,gnl zamba claims hiphop crown ahead of tusker malt conversessions episode,Neutral
1100,Kawowo Sports,over 90 golfers pooled in opening round at 2022 tusker malt uganda amateur open championship  full day 1 draw,Positive
1101,chimpreports.com,annual tusker malt uganda golf open returns,Neutral
1102,Kawowo Sports,babirye commands 4stroke lead in opening round  2022 tusker malt uganda ladies golf open,Neutral
1103,chimpreports.com,king sahas melodies to kick off the month of love at tusker malt conversessions,Positive
1104,PesaCheck,hoax uganda waragi is not offering free data and airtime vouchers,Positive
1105,Independent,ubl launches new flavor for uganda waragi,Positive
1106,Monitor,how nyege nyege propelled busogas nakibembe embaire troupe to global stage,Neutral
1107,Mbu,sheilah gashumba unveils uganda waragis limited edition lemon and ginger flavor,Positive
1108,Kampala Dispatch,nyege nyege is secure enjoy your lives rebecca kadaga says,Positive
1109,Pulse Uganda,kyotera district takes action after waragi kills 10 including children,Positive
1110,chimpreports.com,nyege nyege festival 2023 edition moves to jinja city,Neutral
1111,Independent,uganda waragi brands win awards,Positive
1112,Monitor,my american girlfriend canceled flight says russian reveler at nyege,Neutral
1113,NTV Uganda,south sudan blames illicit alcohol sales in uganda,Neutral
